num_demands,seed,state,demand_id,bandwidth,ip_source,ip_target,optical_source,optical_target,ip_path,optical_mapped_path,ip_link_lightpaths
8,8042,initial,d5,86,5,3,5,9,5 -> 4 -> 3,5 -> 6 -> 9,"IP 5->4 maps OPT 5->6: LP#15: 5 -> 7 -> 2 -> 6 [slot=3-3, slots=1]; LP#16: 5 -> 7 -> 2 -> 6 [slot=4-4, slots=1] | IP 4->3 maps OPT 6->9: LP#17: 6 -> 1 -> 8 -> 4 -> 2 -> 7 -> 5 -> 9 [slot=5-5, slots=1]; LP#18: 6 -> 2 -> 4 -> 8 -> 1 -> 5 -> 9 [slot=6-6, slots=1]"
8,8042,initial,d6,94,2,5,4,5,2 -> 3 -> 4 -> 5,4 -> 9 -> 6 -> 5,"IP 2->3 maps OPT 4->9: LP#0: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1]; LP#1: 4 -> 8 -> 1 -> 5 -> 9 [slot=0-0, slots=1]; LP#2: 4 -> 8 -> 1 -> 6 -> 9 [slot=1-1, slots=1]; LP#3: 4 -> 2 -> 7 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1] | IP 3->4 maps OPT 9->6: LP#10: 9 -> 5 -> 7 -> 8 -> 1 -> 6 [slot=5-5, slots=1]; LP#11: 9 -> 6 [slot=3-3, slots=1] | IP 4->5 maps OPT 6->5: LP#12: 6 -> 3 -> 7 -> 5 [slot=0-0, slots=1]; LP#13: 6 -> 2 -> 7 -> 5 [slot=3-3, slots=1]; LP#14: 6 -> 3 -> 7 -> 5 [slot=4-4, slots=1]"
8,8042,initial,d7,35,4,3,6,9,4 -> 5 -> 0 -> 3,6 -> 5 -> 1 -> 9,"IP 4->5 maps OPT 6->5: LP#12: 6 -> 3 -> 7 -> 5 [slot=0-0, slots=1]; LP#13: 6 -> 2 -> 7 -> 5 [slot=3-3, slots=1]; LP#14: 6 -> 3 -> 7 -> 5 [slot=4-4, slots=1] | IP 5->0 maps OPT 5->1: LP#19: 5 -> 9 -> 6 -> 3 -> 7 -> 8 -> 1 [slot=7-7, slots=1] | IP 0->3 maps OPT 1->9: LP#20: 1 -> 8 -> 7 -> 5 -> 9 [slot=1-1, slots=1]"
8,8042,best,d0,48,2,3,4,9,2 -> 3,4 -> 9,"IP 2->3 maps OPT 4->9: LP#2354: 4 -> 8 -> 7 -> 5 -> 9 [slot=1-1, slots=1]; LP#2376: 4 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1]; LP#2399: 4 -> 2 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=9-9, slots=1]; LP#2401: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1]"
8,8042,best,d1,94,3,5,9,5,3 -> 1 -> 5,9 -> 0 -> 5,"IP 3->1 maps OPT 9->0: LP#2344: 9 -> 6 -> 2 -> 4 -> 0 [slot=2-2, slots=1]; LP#2370: 9 -> 5 -> 1 -> 6 -> 2 -> 4 -> 0 [slot=4-4, slots=1]; LP#2387: 9 -> 6 -> 2 -> 4 -> 0 [slot=3-3, slots=1]; LP#2390: 9 -> 6 -> 3 -> 7 -> 2 -> 4 -> 0 [slot=1-1, slots=1] | IP 1->5 maps OPT 0->5: LP#2348: 0 -> 4 -> 8 -> 1 -> 5 [slot=4-4, slots=1]; LP#2381: 0 -> 4 -> 8 -> 1 -> 5 [slot=3-3, slots=1]; LP#2406: 0 -> 4 -> 8 -> 1 -> 5 [slot=0-0, slots=1]"
8,8042,best,d2,88,2,3,4,9,2 -> 3,4 -> 9,"IP 2->3 maps OPT 4->9: LP#2354: 4 -> 8 -> 7 -> 5 -> 9 [slot=1-1, slots=1]; LP#2376: 4 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1]; LP#2399: 4 -> 2 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=9-9, slots=1]; LP#2401: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1]"
8,8042,best,d3,47,1,5,0,5,1 -> 5,0 -> 5,"IP 1->5 maps OPT 0->5: LP#2348: 0 -> 4 -> 8 -> 1 -> 5 [slot=4-4, slots=1]; LP#2381: 0 -> 4 -> 8 -> 1 -> 5 [slot=3-3, slots=1]; LP#2406: 0 -> 4 -> 8 -> 1 -> 5 [slot=0-0, slots=1]"
8,8042,best,d4,77,2,1,4,0,2 -> 3 -> 1,4 -> 9 -> 0,"IP 2->3 maps OPT 4->9: LP#2354: 4 -> 8 -> 7 -> 5 -> 9 [slot=1-1, slots=1]; LP#2376: 4 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1]; LP#2399: 4 -> 2 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=9-9, slots=1]; LP#2401: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1] | IP 3->1 maps OPT 9->0: LP#2344: 9 -> 6 -> 2 -> 4 -> 0 [slot=2-2, slots=1]; LP#2370: 9 -> 5 -> 1 -> 6 -> 2 -> 4 -> 0 [slot=4-4, slots=1]; LP#2387: 9 -> 6 -> 2 -> 4 -> 0 [slot=3-3, slots=1]; LP#2390: 9 -> 6 -> 3 -> 7 -> 2 -> 4 -> 0 [slot=1-1, slots=1]"
8,8042,best,d5,86,5,3,5,9,5 -> 4 -> 3,5 -> 6 -> 9,"IP 5->4 maps OPT 5->6: LP#2402: 5 -> 1 -> 8 -> 7 -> 2 -> 6 [slot=7-7, slots=1]; LP#2405: 5 -> 1 -> 8 -> 4 -> 2 -> 6 [slot=1-1, slots=1] | IP 4->3 maps OPT 6->9: LP#2369: 6 -> 1 -> 8 -> 4 -> 2 -> 7 -> 5 -> 9 [slot=2-2, slots=1]; LP#2400: 6 -> 2 -> 7 -> 5 -> 9 [slot=5-5, slots=1]"
8,8042,best,d6,94,2,5,4,5,2 -> 3 -> 1 -> 5,4 -> 9 -> 0 -> 5,"IP 2->3 maps OPT 4->9: LP#2354: 4 -> 8 -> 7 -> 5 -> 9 [slot=1-1, slots=1]; LP#2376: 4 -> 8 -> 1 -> 6 -> 9 [slot=2-2, slots=1]; LP#2399: 4 -> 2 -> 7 -> 8 -> 1 -> 5 -> 9 [slot=9-9, slots=1]; LP#2401: 4 -> 2 -> 6 -> 9 [slot=0-0, slots=1] | IP 3->1 maps OPT 9->0: LP#2344: 9 -> 6 -> 2 -> 4 -> 0 [slot=2-2, slots=1]; LP#2370: 9 -> 5 -> 1 -> 6 -> 2 -> 4 -> 0 [slot=4-4, slots=1]; LP#2387: 9 -> 6 -> 2 -> 4 -> 0 [slot=3-3, slots=1]; LP#2390: 9 -> 6 -> 3 -> 7 -> 2 -> 4 -> 0 [slot=1-1, slots=1] | IP 1->5 maps OPT 0->5: LP#2348: 0 -> 4 -> 8 -> 1 -> 5 [slot=4-4, slots=1]; LP#2381: 0 -> 4 -> 8 -> 1 -> 5 [slot=3-3, slots=1]; LP#2406: 0 -> 4 -> 8 -> 1 -> 5 [slot=0-0, slots=1]"
8,8042,best,d7,35,4,3,6,9,4 -> 3,6 -> 9,"IP 4->3 maps OPT 6->9: LP#2369: 6 -> 1 -> 8 -> 4 -> 2 -> 7 -> 5 -> 9 [slot=2-2, slots=1]; LP#2400: 6 -> 2 -> 7 -> 5 -> 9 [slot=5-5, slots=1]"
