#{"t_start": 1788819616.6212828, "env_id": "None"}
r,l,t
3.175294,6,323.665586
2.195789,12,323.910718
6.765,11,323.955758
3.728571,28,324.175906
1.542143,27,325.023339
2.842373,22,325.875528
-2.618605,32,327.687218
0.207692,10,327.740797
1.763333,32,327.960744
-1.971429,32,329.02006
-1.719286,19,330.885837
5.651905,11,331.02086
0.917857,10,331.363851
-0.132308,16,331.885666
2.418462,12,332.125932
2.131667,17,332.525965
4.86,9,332.6416
-2.479231,32,335.65156
3.75,25,335.806014
1.988889,15,335.99091
1.728367,23,336.385753
2.396667,27,336.476153
0.160899,12,336.865717
0.735714,5,336.966007
4.225455,32,337.076091
3.646667,2,337.090886
4.68,20,337.261004
1.849825,8,337.470479
0.189474,10,337.966096
1.88,14,338.461231
2.801852,5,338.527241
5.46,4,338.545816
-2.504348,32,342.531381
0.289231,8,342.731289
2.11,9,343.080523
4.444211,24,343.286273
-0.189804,22,346.411018
0.114874,7,346.777614
-0.28,32,348.576428
1.373077,15,348.986498
2.68,7,349.086228
5.273333,32,349.287491
-2.64,32,352.637033
-0.1,10,352.671558
0.92,8,352.897674
0.626716,3,353.036355
6.719231,5,353.076133
4.008148,14,353.191821
1.306939,4,353.3113
-0.387857,12,353.81671
0.652376,11,354.256447
0.871892,2,354.316614
1.108462,23,354.961288
5.45,5,355.016758
1.468182,15,355.261547
5.18,32,355.439221
1.359355,6,355.526345
1.894286,7,355.612949
-3.84,32,360.123438
2.806667,14,360.39184
2.33,18,360.736484
1.805714,32,360.967951
2.343871,14,361.341802
2.605,27,361.508982
-2.162283,27,364.55686
3.082857,6,364.586935
3.556667,11,364.742548
3.186667,24,365.346546
2.151887,15,365.580109
5.4,10,365.64188
5.29,21,365.706765
-0.021538,6,365.770545
4.055,7,365.828059
3.506667,16,366.701235
3.90439,12,366.876632
3.18,12,366.943072
0.769254,14,367.386866
3.547826,32,367.642084
5.95,5,367.679811
3.02,6,367.751505
1.824286,9,367.871455
3.465,11,368.032795
1.616842,12,368.116852
3.571579,6,368.186951
1.527534,13,368.636936
1.503846,16,368.936664
4.89,6,369.006652
4.644286,7,369.097004
5.723077,20,369.190173
3.693043,22,369.341861
3.965714,32,369.476812
5.026471,15,369.557516
3.968039,13,369.858891
5.29,21,369.981818
2.028108,8,370.117326
2.91,9,370.286647
2.440833,8,370.462721
2.750513,7,370.586817
2.985556,7,370.706795
3.103158,18,370.937017
3.964074,11,371.047122
4.768889,12,371.246885
1.706667,20,372.506793
